0:0:0:0:0:0:0:1 - - [12/Apr/2017:15:17:38 +0530] "POST /frontend/validation HTTP/1.1" 200 4055
0:0:0:0:0:0:0:1 - - [12/Apr/2017:15:17:47 +0530] "GET /frontend/mycart HTTP/1.1" 200 6554
0:0:0:0:0:0:0:1 - - [12/Apr/2017:15:17:47 +0530] "GET /frontend/Resources/Bootstrap/bootstrap.min.css HTTP/1.1" 404 1043
0:0:0:0:0:0:0:1 - - [12/Apr/2017:15:18:01 +0530] "GET /frontend/clickout HTTP/1.1" 200 3225
0:0:0:0:0:0:0:1 - - [12/Apr/2017:15:18:56 +0530] "GET /frontend/clickout HTTP/1.1" 200 3225
0:0:0:0:0:0:0:1 - - [12/Apr/2017:15:19:03 +0530] "GET /frontend/clickout HTTP/1.1" 200 4749
0:0:0:0:0:0:0:1 - - [12/Apr/2017:15:19:05 +0530] "GET /frontend/image/img2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2017:15:19:05 +0530] "GET /frontend/image/img1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2017:15:19:05 +0530] "GET /frontend/image/img3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2017:15:20:03 +0530] "GET /frontend/selProductView HTTP/1.1" 200 5127
0:0:0:0:0:0:0:1 - - [12/Apr/2017:15:20:05 +0530] "GET /frontend/selProductView HTTP/1.1" 200 5127
0:0:0:0:0:0:0:1 - - [12/Apr/2017:15:20:07 +0530] "GET /frontend/clicklog HTTP/1.1" 200 5369
0:0:0:0:0:0:0:1 - - [12/Apr/2017:15:20:11 +0530] "GET /frontend/click HTTP/1.1" 200 4749
0:0:0:0:0:0:0:1 - - [12/Apr/2017:15:20:41 +0530] "GET /frontend/clicklog HTTP/1.1" 200 5369
0:0:0:0:0:0:0:1 - - [12/Apr/2017:15:21:16 +0530] "POST /frontend/validation HTTP/1.1" 200 4055
0:0:0:0:0:0:0:1 - - [12/Apr/2017:15:28:03 +0530] "POST /frontend/validation HTTP/1.1" 200 4055
0:0:0:0:0:0:0:1 - - [12/Apr/2017:15:28:10 +0530] "POST /frontend/validation HTTP/1.1" 200 4055
0:0:0:0:0:0:0:1 - - [12/Apr/2017:15:36:06 +0530] "POST /frontend/validation HTTP/1.1" 200 3202
0:0:0:0:0:0:0:1 - - [12/Apr/2017:15:36:17 +0530] "GET /frontend/selProductView HTTP/1.1" 200 5104
0:0:0:0:0:0:0:1 - - [12/Apr/2017:15:36:18 +0530] "GET /frontend/selProductView HTTP/1.1" 200 5104
